,0,1,2,3,4,5,6,7
0,626.54,110.15,30.95,16.13,31.87,19.5,1,0
1,626.54,109.13,30.95,16.13,31.87,19.5,1,0
2,626.54,110.15,30.95,16.13,31.87,19.5,1,0
3,626.54,110.15,30.95,16.13,31.87,19.5,1,0
4,623.66,109.13,30.95,16.13,31.87,19.5,1,0
5,627.99,110.15,30.95,16.13,31.87,19.5,1,0
6,627.99,110.15,30.95,16.13,31.87,19.5,1,0
7,629.43,110.15,30.95,16.13,31.87,19.5,1,0
8,630.87,110.15,30.95,16.13,31.87,19.85,1,0
9,630.87,110.15,30.95,16.13,31.87,19.5,1,0
10,259.86,52.01,15.48,8.06,11.31,7.01,1,0
11,259.86,52.01,15.48,8.06,11.31,7.01,1,0
12,256.97,50.99,15.48,7.05,11.31,7.01,1,0
13,258.41,50.99,15.48,7.05,11.31,7.01,1,0
14,259.86,52.01,15.48,8.06,11.31,7.01,1,0
15,261.3,52.01,15.48,8.06,11.31,7.01,1,0
16,261.3,52.01,15.48,8.06,11.31,7.01,1,0
17,261.3,52.01,15.48,8.06,11.31,7.01,1,0
18,261.3,52.01,15.48,8.06,11.31,7.01,1,0
19,261.3,50.99,15.48,8.06,11.31,7.01,1,0
20,2498.95,282.51,86.22,46.36,106.92,49.5,1,0
21,2527.83,282.51,87.33,46.36,106.92,50.5,1,0
22,2519.16,281.49,87.33,46.36,105.89,50.2,1,0
23,2520.61,281.49,87.33,46.36,105.89,50.5,1,0
24,2524.94,282.51,87.33,46.36,106.92,50.5,1,0
25,2517.72,282.51,87.33,46.36,106.92,50.5,1,0
26,2516.28,282.51,87.33,46.36,106.92,50.5,1,0
27,2513.39,281.49,87.33,46.36,105.89,50.5,1,0
28,2511.95,280.47,87.33,46.36,105.89,50.5,1,0
29,2511.95,280.47,87.33,46.36,105.89,50.5,1,0
30,984.57,184.6,58.59,32.25,47.29,25.5,1,0
31,984.57,184.6,58.59,32.25,47.29,25.69,1,0
32,983.12,184.6,58.59,32.25,47.29,25.5,1,0
33,983.12,184.6,58.59,32.25,47.29,25.5,1,0
34,983.12,184.6,58.59,32.25,47.29,25.5,1,0
35,984.57,184.6,58.59,32.25,47.29,25.5,1,0
36,984.57,184.6,58.59,32.25,47.29,25.5,1,0
37,983.12,184.6,58.59,32.25,47.29,25.5,1,0
38,984.57,184.6,58.59,32.25,47.29,25.69,1,0
39,984.57,184.6,58.59,32.25,47.29,25.5,1,0
40,506.72,68.33,24.32,16.13,31.87,16.0,1,0
41,506.72,69.35,24.32,16.13,31.87,16.0,1,0
42,505.28,68.33,24.32,16.13,31.87,16.0,1,0
43,505.28,68.33,24.32,16.13,31.87,16.0,1,0
44,505.28,69.35,24.32,16.13,31.87,16.0,1,0
45,505.28,69.35,24.32,16.13,31.87,16.0,1,0
46,505.28,68.33,24.32,16.13,31.87,16.0,1,0
47,505.28,69.35,25.43,16.13,31.87,16.0,1,0
48,505.28,69.35,24.32,16.13,31.87,16.0,1,0
49,505.28,69.35,24.32,16.13,31.87,16.0,1,0
50,321.93,62.21,19.9,10.08,14.39,8.17,1,0
51,320.49,62.21,19.9,10.08,14.39,8.17,1,0
52,320.49,62.21,19.9,10.08,14.39,8.1,1,0
53,320.49,62.21,19.9,10.08,14.39,8.17,1,0
54,320.49,62.21,19.9,10.08,14.39,8.17,1,0
55,320.49,62.21,19.9,10.08,14.39,8.17,1,0
56,320.49,62.21,19.9,10.08,14.39,8.17,1,0
57,300.28,39.78,18.79,9.07,9.25,7.01,1,0
58,320.49,62.21,19.9,10.08,14.39,8.17,1,0
59,166.02,32.64,9.95,5.04,7.2,3.5,1,0
60,20.21,6.12,2.21,1.01,2.06,1.17,1,0
61,18.77,7.14,2.21,1.01,1.03,1.17,1,0
62,18.77,7.14,2.21,1.01,1.03,1.17,1,0
63,18.77,7.14,2.21,1.01,1.03,1.17,1,0
64,18.77,7.14,2.21,1.01,1.03,1.1,1,0
65,18.77,7.14,2.21,1.01,1.03,1.17,1,0
66,18.77,7.14,2.21,1.01,1.03,1.17,1,0
67,18.77,7.14,2.21,1.01,1.03,1.17,1,0
68,18.77,7.14,2.21,1.01,1.03,1.1,1,0
69,18.77,7.14,2.21,1.01,1.03,1.17,1,0
70,938.37,193.78,54.17,33.26,54.49,33.5,1,0
71,938.37,193.78,54.17,33.26,54.49,33.5,1,0
72,938.37,193.78,54.17,33.26,54.49,33.5,1,0
73,938.37,193.78,54.17,33.26,54.49,32.5,1,0
74,938.37,193.78,54.17,33.26,54.49,32.5,1,0
75,938.37,193.78,54.17,33.26,54.49,32.5,1,0
76,938.37,193.78,54.17,33.26,54.49,32.5,1,0
77,938.37,193.78,54.17,33.26,54.49,32.69,1,0
78,938.37,193.78,54.17,33.26,54.49,32.5,1,0
79,938.37,193.78,54.17,33.26,54.49,32.5,1,0
80,105.39,17.34,6.63,3.02,6.17,2.3,1,0
81,103.94,17.34,6.63,3.02,6.17,2.34,1,0
82,103.94,17.34,6.63,3.02,6.17,2.34,1,0
83,103.94,17.34,6.63,3.02,6.17,2.34,1,0
84,103.94,17.34,6.63,3.02,6.17,2.34,1,0
85,103.94,17.34,6.63,3.02,6.17,2.34,1,0
86,103.94,17.34,6.63,3.02,6.17,2.3,1,0
87,103.94,17.34,6.63,3.02,6.17,2.34,1,0
88,103.94,17.34,6.63,3.02,6.17,2.34,1,0
89,103.94,17.34,6.63,3.02,6.17,2.34,1,0
90,51.97,7.14,2.21,1.01,3.08,1.17,1,0
91,51.97,7.14,2.21,1.01,3.08,1.1,1,0
92,51.97,7.14,2.21,1.01,3.08,1.17,1,0
93,51.97,7.14,2.21,1.01,3.08,1.17,1,0
94,51.97,7.14,2.21,1.01,3.08,1.17,1,0
95,51.97,7.14,2.21,1.01,3.08,1.17,1,0
96,51.97,7.14,2.21,1.01,3.08,1.17,1,0
97,51.97,7.14,2.21,1.01,3.08,1.17,1,0
98,51.97,7.14,2.21,1.01,3.08,1.17,1,0
99,51.97,7.14,2.21,1.01,3.08,1.1,1,0
0,626.54,110.15,30.95,16.13,31.87,19.5,1,0
1,626.54,109.13,30.95,16.13,31.87,19.5,1,0
2,626.54,110.15,30.95,16.13,31.87,19.5,1,0
3,626.54,110.15,30.95,16.13,31.87,19.5,1,0
4,623.66,109.13,30.95,16.13,31.87,19.5,1,0
5,627.99,110.15,30.95,16.13,31.87,19.5,1,0
6,627.99,110.15,30.95,16.13,31.87,19.5,1,0
7,629.43,110.15,30.95,16.13,31.87,19.5,1,0
8,630.87,110.15,30.95,16.13,31.87,19.85,1,0
9,630.87,110.15,30.95,16.13,31.87,19.5,1,0
10,259.86,52.01,15.48,8.06,11.31,7.01,1,0
11,259.86,52.01,15.48,8.06,11.31,7.01,1,0
12,256.97,50.99,15.48,7.05,11.31,7.01,1,0
13,258.41,50.99,15.48,7.05,11.31,7.01,1,0
14,259.86,52.01,15.48,8.06,11.31,7.01,1,0
15,261.3,52.01,15.48,8.06,11.31,7.01,1,0
16,261.3,52.01,15.48,8.06,11.31,7.01,1,0
17,261.3,52.01,15.48,8.06,11.31,7.01,1,0
18,261.3,52.01,15.48,8.06,11.31,7.01,1,0
19,261.3,50.99,15.48,8.06,11.31,7.01,1,0
20,2498.95,282.51,86.22,46.36,106.92,49.5,1,0
21,2527.83,282.51,87.33,46.36,106.92,50.5,1,0
22,2519.16,281.49,87.33,46.36,105.89,50.2,1,0
23,2520.61,281.49,87.33,46.36,105.89,50.5,1,0
24,2524.94,282.51,87.33,46.36,106.92,50.5,1,0
25,2517.72,282.51,87.33,46.36,106.92,50.5,1,0
26,2516.28,282.51,87.33,46.36,106.92,50.5,1,0
27,2513.39,281.49,87.33,46.36,105.89,50.5,1,0
28,2511.95,280.47,87.33,46.36,105.89,50.5,1,0
29,2511.95,280.47,87.33,46.36,105.89,50.5,1,0
30,984.57,184.6,58.59,32.25,47.29,25.5,1,0
31,984.57,184.6,58.59,32.25,47.29,25.69,1,0
32,983.12,184.6,58.59,32.25,47.29,25.5,1,0
33,983.12,184.6,58.59,32.25,47.29,25.5,1,0
34,983.12,184.6,58.59,32.25,47.29,25.5,1,0
35,984.57,184.6,58.59,32.25,47.29,25.5,1,0
36,984.57,184.6,58.59,32.25,47.29,25.5,1,0
37,983.12,184.6,58.59,32.25,47.29,25.5,1,0
38,984.57,184.6,58.59,32.25,47.29,25.69,1,0
39,984.57,184.6,58.59,32.25,47.29,25.5,1,0
40,506.72,68.33,24.32,16.13,31.87,16.0,1,0
41,506.72,69.35,24.32,16.13,31.87,16.0,1,0
42,505.28,68.33,24.32,16.13,31.87,16.0,1,0
43,505.28,68.33,24.32,16.13,31.87,16.0,1,0
44,505.28,69.35,24.32,16.13,31.87,16.0,1,0
45,505.28,69.35,24.32,16.13,31.87,16.0,1,0
46,505.28,68.33,24.32,16.13,31.87,16.0,1,0
47,505.28,69.35,25.43,16.13,31.87,16.0,1,0
48,505.28,69.35,24.32,16.13,31.87,16.0,1,0
49,505.28,69.35,24.32,16.13,31.87,16.0,1,0
50,321.93,62.21,19.9,10.08,14.39,8.17,1,0
51,320.49,62.21,19.9,10.08,14.39,8.17,1,0
52,320.49,62.21,19.9,10.08,14.39,8.1,1,0
53,320.49,62.21,19.9,10.08,14.39,8.17,1,0
54,320.49,62.21,19.9,10.08,14.39,8.17,1,0
55,320.49,62.21,19.9,10.08,14.39,8.17,1,0
56,320.49,62.21,19.9,10.08,14.39,8.17,1,0
57,300.28,39.78,18.79,9.07,9.25,7.01,1,0
58,320.49,62.21,19.9,10.08,14.39,8.17,1,0
59,166.02,32.64,9.95,5.04,7.2,3.5,1,0
60,20.21,6.12,2.21,1.01,2.06,1.17,1,0
61,18.77,7.14,2.21,1.01,1.03,1.17,1,0
62,18.77,7.14,2.21,1.01,1.03,1.17,1,0
63,18.77,7.14,2.21,1.01,1.03,1.17,1,0
64,18.77,7.14,2.21,1.01,1.03,1.1,1,0
65,18.77,7.14,2.21,1.01,1.03,1.17,1,0
66,18.77,7.14,2.21,1.01,1.03,1.17,1,0
67,18.77,7.14,2.21,1.01,1.03,1.17,1,0
68,18.77,7.14,2.21,1.01,1.03,1.1,1,0
69,18.77,7.14,2.21,1.01,1.03,1.17,1,0
70,938.37,193.78,54.17,33.26,54.49,33.5,1,0
71,938.37,193.78,54.17,33.26,54.49,33.5,1,0
72,938.37,193.78,54.17,33.26,54.49,33.5,1,0
73,938.37,193.78,54.17,33.26,54.49,32.5,1,0
74,938.37,193.78,54.17,33.26,54.49,32.5,1,0
75,938.37,193.78,54.17,33.26,54.49,32.5,1,0
76,938.37,193.78,54.17,33.26,54.49,32.5,1,0
77,938.37,193.78,54.17,33.26,54.49,32.69,1,0
78,938.37,193.78,54.17,33.26,54.49,32.5,1,0
79,938.37,193.78,54.17,33.26,54.49,32.5,1,0
80,105.39,17.34,6.63,3.02,6.17,2.3,1,0
81,103.94,17.34,6.63,3.02,6.17,2.34,1,0
82,103.94,17.34,6.63,3.02,6.17,2.34,1,0
83,103.94,17.34,6.63,3.02,6.17,2.34,1,0
84,103.94,17.34,6.63,3.02,6.17,2.34,1,0
85,103.94,17.34,6.63,3.02,6.17,2.34,1,0
86,103.94,17.34,6.63,3.02,6.17,2.3,1,0
87,103.94,17.34,6.63,3.02,6.17,2.34,1,0
88,103.94,17.34,6.63,3.02,6.17,2.34,1,0
89,103.94,17.34,6.63,3.02,6.17,2.34,1,0
90,51.97,7.14,2.21,1.01,3.08,1.17,1,0
91,51.97,7.14,2.21,1.01,3.08,1.1,1,0
92,51.97,7.14,2.21,1.01,3.08,1.17,1,0
93,51.97,7.14,2.21,1.01,3.08,1.17,1,0
94,51.97,7.14,2.21,1.01,3.08,1.17,1,0
95,51.97,7.14,2.21,1.01,3.08,1.17,1,0
96,51.97,7.14,2.21,1.01,3.08,1.17,1,0
97,51.97,7.14,2.21,1.01,3.08,1.17,1,0
98,51.97,7.14,2.21,1.01,3.08,1.17,1,0
99,51.97,7.14,2.21,1.01,3.08,1.1,1,0
0,626.54,110.15,30.95,16.13,31.87,19.5,1,0
1,626.54,109.13,30.95,16.13,31.87,19.5,1,0
2,626.54,110.15,30.95,16.13,31.87,19.5,1,0
3,626.54,110.15,30.95,16.13,31.87,19.5,1,0
4,623.66,109.13,30.95,16.13,31.87,19.5,1,0
5,627.99,110.15,30.95,16.13,31.87,19.5,1,0
6,627.99,110.15,30.95,16.13,31.87,19.5,1,0
7,629.43,110.15,30.95,16.13,31.87,19.5,1,0
8,630.87,110.15,30.95,16.13,31.87,19.85,1,0
9,630.87,110.15,30.95,16.13,31.87,19.5,1,0
10,259.86,52.01,15.48,8.06,11.31,7.01,1,0
11,259.86,52.01,15.48,8.06,11.31,7.01,1,0
12,256.97,50.99,15.48,7.05,11.31,7.01,1,0
13,258.41,50.99,15.48,7.05,11.31,7.01,1,0
14,259.86,52.01,15.48,8.06,11.31,7.01,1,0
15,261.3,52.01,15.48,8.06,11.31,7.01,1,0
16,261.3,52.01,15.48,8.06,11.31,7.01,1,0
17,261.3,52.01,15.48,8.06,11.31,7.01,1,0
18,261.3,52.01,15.48,8.06,11.31,7.01,1,0
19,261.3,50.99,15.48,8.06,11.31,7.01,1,0
20,2498.95,282.51,86.22,46.36,106.92,49.5,1,0
21,2527.83,282.51,87.33,46.36,106.92,50.5,1,0
22,2519.16,281.49,87.33,46.36,105.89,50.2,1,0
23,2520.61,281.49,87.33,46.36,105.89,50.5,1,0
24,2524.94,282.51,87.33,46.36,106.92,50.5,1,0
25,2517.72,282.51,87.33,46.36,106.92,50.5,1,0
26,2516.28,282.51,87.33,46.36,106.92,50.5,1,0
27,2513.39,281.49,87.33,46.36,105.89,50.5,1,0
28,2511.95,280.47,87.33,46.36,105.89,50.5,1,0
29,2511.95,280.47,87.33,46.36,105.89,50.5,1,0
30,984.57,184.6,58.59,32.25,47.29,25.5,1,0
31,984.57,184.6,58.59,32.25,47.29,25.69,1,0
32,983.12,184.6,58.59,32.25,47.29,25.5,1,0
33,983.12,184.6,58.59,32.25,47.29,25.5,1,0
34,983.12,184.6,58.59,32.25,47.29,25.5,1,0
35,984.57,184.6,58.59,32.25,47.29,25.5,1,0
36,984.57,184.6,58.59,32.25,47.29,25.5,1,0
37,983.12,184.6,58.59,32.25,47.29,25.5,1,0
38,984.57,184.6,58.59,32.25,47.29,25.69,1,0
39,984.57,184.6,58.59,32.25,47.29,25.5,1,0
40,506.72,68.33,24.32,16.13,31.87,16.0,1,0
41,506.72,69.35,24.32,16.13,31.87,16.0,1,0
42,505.28,68.33,24.32,16.13,31.87,16.0,1,0
43,505.28,68.33,24.32,16.13,31.87,16.0,1,0
44,505.28,69.35,24.32,16.13,31.87,16.0,1,0
45,505.28,69.35,24.32,16.13,31.87,16.0,1,0
46,505.28,68.33,24.32,16.13,31.87,16.0,1,0
47,505.28,69.35,25.43,16.13,31.87,16.0,1,0
48,505.28,69.35,24.32,16.13,31.87,16.0,1,0
49,505.28,69.35,24.32,16.13,31.87,16.0,1,0
50,321.93,62.21,19.9,10.08,14.39,8.17,1,0
51,320.49,62.21,19.9,10.08,14.39,8.17,1,0
52,320.49,62.21,19.9,10.08,14.39,8.1,1,0
53,320.49,62.21,19.9,10.08,14.39,8.17,1,0
54,320.49,62.21,19.9,10.08,14.39,8.17,1,0
55,320.49,62.21,19.9,10.08,14.39,8.17,1,0
56,320.49,62.21,19.9,10.08,14.39,8.17,1,0
57,300.28,39.78,18.79,9.07,9.25,7.01,1,0
58,320.49,62.21,19.9,10.08,14.39,8.17,1,0
59,166.02,32.64,9.95,5.04,7.2,3.5,1,0
60,20.21,6.12,2.21,1.01,2.06,1.17,1,0
61,18.77,7.14,2.21,1.01,1.03,1.17,1,0
62,18.77,7.14,2.21,1.01,1.03,1.17,1,0
63,18.77,7.14,2.21,1.01,1.03,1.17,1,0
64,18.77,7.14,2.21,1.01,1.03,1.1,1,0
65,18.77,7.14,2.21,1.01,1.03,1.17,1,0
66,18.77,7.14,2.21,1.01,1.03,1.17,1,0
67,18.77,7.14,2.21,1.01,1.03,1.17,1,0
68,18.77,7.14,2.21,1.01,1.03,1.1,1,0
69,18.77,7.14,2.21,1.01,1.03,1.17,1,0
70,938.37,193.78,54.17,33.26,54.49,33.5,1,0
71,938.37,193.78,54.17,33.26,54.49,33.5,1,0
72,938.37,193.78,54.17,33.26,54.49,33.5,1,0
73,938.37,193.78,54.17,33.26,54.49,32.5,1,0
74,938.37,193.78,54.17,33.26,54.49,32.5,1,0
75,938.37,193.78,54.17,33.26,54.49,32.5,1,0
76,938.37,193.78,54.17,33.26,54.49,32.5,1,0
77,938.37,193.78,54.17,33.26,54.49,32.69,1,0
78,938.37,193.78,54.17,33.26,54.49,32.5,1,0
79,938.37,193.78,54.17,33.26,54.49,32.5,1,0
80,105.39,17.34,6.63,3.02,6.17,2.3,1,0
81,103.94,17.34,6.63,3.02,6.17,2.34,1,0
82,103.94,17.34,6.63,3.02,6.17,2.34,1,0
83,103.94,17.34,6.63,3.02,6.17,2.34,1,0
84,103.94,17.34,6.63,3.02,6.17,2.34,1,0
85,103.94,17.34,6.63,3.02,6.17,2.34,1,0
86,103.94,17.34,6.63,3.02,6.17,2.3,1,0
87,103.94,17.34,6.63,3.02,6.17,2.34,1,0
88,103.94,17.34,6.63,3.02,6.17,2.34,1,0
89,103.94,17.34,6.63,3.02,6.17,2.34,1,0
90,51.97,7.14,2.21,1.01,3.08,1.17,1,0
91,51.97,7.14,2.21,1.01,3.08,1.1,1,0
92,51.97,7.14,2.21,1.01,3.08,1.17,1,0
93,51.97,7.14,2.21,1.01,3.08,1.17,1,0
94,51.97,7.14,2.21,1.01,3.08,1.17,1,0
95,51.97,7.14,2.21,1.01,3.08,1.17,1,0
96,51.97,7.14,2.21,1.01,3.08,1.17,1,0
97,51.97,7.14,2.21,1.01,3.08,1.17,1,0
98,51.97,7.14,2.21,1.01,3.08,1.17,1,0
99,51.97,7.14,2.21,1.01,3.08,1.1,1,0
0,626.54,110.15,30.95,16.13,31.87,19.5,1,0
1,626.54,109.13,30.95,16.13,31.87,19.5,1,0
2,626.54,110.15,30.95,16.13,31.87,19.5,1,0
3,626.54,110.15,30.95,16.13,31.87,19.5,1,0
4,623.66,109.13,30.95,16.13,31.87,19.5,1,0
5,627.99,110.15,30.95,16.13,31.87,19.5,1,0
6,627.99,110.15,30.95,16.13,31.87,19.5,1,0
7,629.43,110.15,30.95,16.13,31.87,19.5,1,0
8,630.87,110.15,30.95,16.13,31.87,19.85,1,0
9,630.87,110.15,30.95,16.13,31.87,19.5,1,0
10,259.86,52.01,15.48,8.06,11.31,7.01,1,0
11,259.86,52.01,15.48,8.06,11.31,7.01,1,0
12,256.97,50.99,15.48,7.05,11.31,7.01,1,0
13,258.41,50.99,15.48,7.05,11.31,7.01,1,0
14,259.86,52.01,15.48,8.06,11.31,7.01,1,0
15,261.3,52.01,15.48,8.06,11.31,7.01,1,0
16,261.3,52.01,15.48,8.06,11.31,7.01,1,0
17,261.3,52.01,15.48,8.06,11.31,7.01,1,0
18,261.3,52.01,15.48,8.06,11.31,7.01,1,0
19,261.3,50.99,15.48,8.06,11.31,7.01,1,0
20,2498.95,282.51,86.22,46.36,106.92,49.5,1,0
21,2527.83,282.51,87.33,46.36,106.92,50.5,1,0
22,2519.16,281.49,87.33,46.36,105.89,50.2,1,0
23,2520.61,281.49,87.33,46.36,105.89,50.5,1,0
24,2524.94,282.51,87.33,46.36,106.92,50.5,1,0
25,2517.72,282.51,87.33,46.36,106.92,50.5,1,0
26,2516.28,282.51,87.33,46.36,106.92,50.5,1,0
27,2513.39,281.49,87.33,46.36,105.89,50.5,1,0
28,2511.95,280.47,87.33,46.36,105.89,50.5,1,0
29,2511.95,280.47,87.33,46.36,105.89,50.5,1,0
30,984.57,184.6,58.59,32.25,47.29,25.5,1,0
31,984.57,184.6,58.59,32.25,47.29,25.69,1,0
32,983.12,184.6,58.59,32.25,47.29,25.5,1,0
33,983.12,184.6,58.59,32.25,47.29,25.5,1,0
34,983.12,184.6,58.59,32.25,47.29,25.5,1,0
35,984.57,184.6,58.59,32.25,47.29,25.5,1,0
36,984.57,184.6,58.59,32.25,47.29,25.5,1,0
37,983.12,184.6,58.59,32.25,47.29,25.5,1,0
38,984.57,184.6,58.59,32.25,47.29,25.69,1,0
39,984.57,184.6,58.59,32.25,47.29,25.5,1,0
40,506.72,68.33,24.32,16.13,31.87,16.0,1,0
41,506.72,69.35,24.32,16.13,31.87,16.0,1,0
42,505.28,68.33,24.32,16.13,31.87,16.0,1,0
43,505.28,68.33,24.32,16.13,31.87,16.0,1,0
44,505.28,69.35,24.32,16.13,31.87,16.0,1,0
45,505.28,69.35,24.32,16.13,31.87,16.0,1,0
46,505.28,68.33,24.32,16.13,31.87,16.0,1,0
47,505.28,69.35,25.43,16.13,31.87,16.0,1,0
48,505.28,69.35,24.32,16.13,31.87,16.0,1,0
49,505.28,69.35,24.32,16.13,31.87,16.0,1,0
50,321.93,62.21,19.9,10.08,14.39,8.17,1,0
51,320.49,62.21,19.9,10.08,14.39,8.17,1,0
52,320.49,62.21,19.9,10.08,14.39,8.1,1,0
53,320.49,62.21,19.9,10.08,14.39,8.17,1,0
54,320.49,62.21,19.9,10.08,14.39,8.17,1,0
55,320.49,62.21,19.9,10.08,14.39,8.17,1,0
56,320.49,62.21,19.9,10.08,14.39,8.17,1,0
57,300.28,39.78,18.79,9.07,9.25,7.01,1,0
58,320.49,62.21,19.9,10.08,14.39,8.17,1,0
59,166.02,32.64,9.95,5.04,7.2,3.5,1,0
60,20.21,6.12,2.21,1.01,2.06,1.17,1,0
61,18.77,7.14,2.21,1.01,1.03,1.17,1,0
62,18.77,7.14,2.21,1.01,1.03,1.17,1,0
63,18.77,7.14,2.21,1.01,1.03,1.17,1,0
64,18.77,7.14,2.21,1.01,1.03,1.1,1,0
65,18.77,7.14,2.21,1.01,1.03,1.17,1,0
66,18.77,7.14,2.21,1.01,1.03,1.17,1,0
67,18.77,7.14,2.21,1.01,1.03,1.17,1,0
68,18.77,7.14,2.21,1.01,1.03,1.1,1,0
69,18.77,7.14,2.21,1.01,1.03,1.17,1,0
70,938.37,193.78,54.17,33.26,54.49,33.5,1,0
71,938.37,193.78,54.17,33.26,54.49,33.5,1,0
72,938.37,193.78,54.17,33.26,54.49,33.5,1,0
73,938.37,193.78,54.17,33.26,54.49,32.5,1,0
74,938.37,193.78,54.17,33.26,54.49,32.5,1,0
75,938.37,193.78,54.17,33.26,54.49,32.5,1,0
76,938.37,193.78,54.17,33.26,54.49,32.5,1,0
77,938.37,193.78,54.17,33.26,54.49,32.69,1,0
78,938.37,193.78,54.17,33.26,54.49,32.5,1,0
79,938.37,193.78,54.17,33.26,54.49,32.5,1,0
80,105.39,17.34,6.63,3.02,6.17,2.3,1,0
81,103.94,17.34,6.63,3.02,6.17,2.34,1,0
82,103.94,17.34,6.63,3.02,6.17,2.34,1,0
83,103.94,17.34,6.63,3.02,6.17,2.34,1,0
84,103.94,17.34,6.63,3.02,6.17,2.34,1,0
85,103.94,17.34,6.63,3.02,6.17,2.34,1,0
86,103.94,17.34,6.63,3.02,6.17,2.3,1,0
87,103.94,17.34,6.63,3.02,6.17,2.34,1,0
88,103.94,17.34,6.63,3.02,6.17,2.34,1,0
89,103.94,17.34,6.63,3.02,6.17,2.34,1,0
90,51.97,7.14,2.21,1.01,3.08,1.17,1,0
91,51.97,7.14,2.21,1.01,3.08,1.1,1,0
92,51.97,7.14,2.21,1.01,3.08,1.17,1,0
93,51.97,7.14,2.21,1.01,3.08,1.17,1,0
94,51.97,7.14,2.21,1.01,3.08,1.17,1,0
95,51.97,7.14,2.21,1.01,3.08,1.17,1,0
96,51.97,7.14,2.21,1.01,3.08,1.17,1,0
97,51.97,7.14,2.21,1.01,3.08,1.17,1,0
98,51.97,7.14,2.21,1.01,3.08,1.17,1,0
99,51.97,7.14,2.21,1.01,3.08,1.1,1,0
